feature,mean_abs_shap
cat__autopay_enabled_Yes,0.08069525136092456
cat__contract_type_Month-to-month,0.06606180984991931
cat__autopay_enabled_No,0.055425759895684684
cat__online_security_Yes,0.03470777418369197
cat__partner_Yes,0.02756588600678116
cat__online_security_No,0.025577859837929567
num__monthly_charges,0.020848688269293272
num__late_payments_last_year,0.020692742558610703
num__tenure_months,0.019659243393293745
cat__partner_No,0.016383791722171907
cat__streaming_tv_No,0.01535414034802927
cat__streaming_tv_Yes,0.015195344049455684
num__tickets_per_month,0.01411450654135503
num__avg_monthly_usage_gb,0.010918585080050001
cat__multiple_lines_No,0.010497106684405667
cat__multiple_lines_Yes,0.009755551525070329
num__usage_per_charge,0.006484094795743927
cat__internet_service_Fiber optic,0.006132566633415933
num__charges_per_month,0.005887221928161403
cat__internet_service_DSL,0.005747276695159977
cat__payment_method_Electronic check,0.00476213895868191
cat__dependents_Yes,0.004289349741454932
num__total_charges,0.003979230893432007
num__support_tickets_last_6m,0.003904754503742021
cat__payment_method_Credit card,0.0034921414918164828
cat__gender_Female,0.0031603934834441368
cat__contract_type_One year,0.0030407144838820455
cat__paperless_billing_No,0.002979848800558936
cat__gender_Male,0.002915419956196938
cat__region_South,0.0027056518272155204
cat__dependents_No,0.002357077849231771
cat__paperless_billing_Yes,0.0023151040661617316
cat__billing_cycle_Monthly,0.001235656589741968
cat__region_West,0.0011037898179621455
cat__billing_cycle_Quarterly,0.0009540452824891514
cat__tech_support_No,0.0008599187740974591
cat__payment_method_Mailed check,0.0008432498428960062
cat__tech_support_Yes,0.0007328798869864469
cat__streaming_movies_No,0.0007069332750130958
cat__region_East,0.0007003359730381897
cat__streaming_movies_Yes,0.0006240213783306739
cat__region_North,0.0005345826995851445
num__senior_citizen,0.00040962751755601766
cat__contract_type_Two year,0.00032260124316673517
cat__payment_method_Bank transfer,0.0002586545474158647
