customer_id,gender,senior_citizen,partner,dependents,tenure_months,contract_type,payment_method,monthly_charges,total_charges,internet_service,online_security,tech_support,paperless_billing,streaming_tv,streaming_movies,multiple_lines,avg_monthly_usage_gb,support_tickets_last_6m,late_payments_last_year,autopay_enabled,billing_cycle,region,churn
C001,Female,0,Yes,No,12,Month-to-month,Electronic check,70.5,846,Fiber optic,No,No,Yes,Yes,Yes,No,140.2,2,1,No,Monthly,South,1
C002,Male,0,No,No,3,Month-to-month,Mailed check,89.1,267.3,Fiber optic,No,No,Yes,No,Yes,Yes,220.5,3,2,No,Monthly,North,1
C003,Female,0,Yes,Yes,48,One year,Credit card,55.2,2649.6,DSL,Yes,Yes,No,Yes,No,Yes,90.0,0,0,Yes,Quarterly,East,0
C004,Male,1,No,No,6,Month-to-month,Electronic check,95,570,Fiber optic,No,No,Yes,No,Yes,No,260.3,4,3,No,Monthly,South,1
C005,Female,0,Yes,Yes,72,Two year,Bank transfer,45,3240,DSL,Yes,Yes,No,Yes,Yes,Yes,60.5,0,0,Yes,Quarterly,West,0
C006,Male,0,Yes,No,24,One year,Credit card,65.4,1569.6,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,180.7,1,0,Yes,Monthly,North,0
C007,Female,0,No,No,2,Month-to-month,Electronic check,99.9,199.8,Fiber optic,No,No,Yes,No,Yes,No,300.1,5,4,No,Monthly,East,1
C008,Male,0,Yes,Yes,60,Two year,Bank transfer,49.8,2988,DSL,Yes,Yes,No,Yes,Yes,Yes,70.4,0,0,Yes,Quarterly,South,0
C009,Female,1,No,No,9,Month-to-month,Mailed check,85.6,770.4,Fiber optic,No,No,Yes,No,No,No,210.9,3,2,No,Monthly,West,1
C010,Male,0,Yes,Yes,36,One year,Credit card,58.3,2098.8,DSL,Yes,Yes,No,Yes,No,Yes,95.6,1,0,Yes,Monthly,North,0
C011,Female,0,No,No,1,Month-to-month,Electronic check,102.4,102.4,Fiber optic,No,No,Yes,No,Yes,No,320.8,6,5,No,Monthly,South,1
C012,Male,0,Yes,Yes,84,Two year,Bank transfer,42.7,3586.8,DSL,Yes,Yes,No,Yes,Yes,Yes,55.2,0,0,Yes,Quarterly,East,0
C013,Female,0,Yes,No,18,One year,Credit card,68.9,1240.2,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,165.0,1,0,Yes,Monthly,West,0
C014,Male,1,No,No,4,Month-to-month,Mailed check,91.5,366,Fiber optic,No,No,Yes,No,Yes,No,240.6,4,3,No,Monthly,North,1
C015,Female,0,Yes,Yes,96,Two year,Bank transfer,40.2,3859.2,DSL,Yes,Yes,No,Yes,Yes,Yes,50.1,0,0,Yes,Quarterly,South,0
